,MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN,HIGH,LOW,CMP,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK,ForDate
0,Y, ,Nifty 50,Nifty 50,     14137.35,     14258.40,     14367.30,     14221.65,     14347.25,758765516134.66,3813287289,Y, ,21228827,     14367.30,      7511.10,2021-01-08
16,Y, ,Nifty Bank,Nifty Bank,     31956.00,     32298.05,     32298.05,     32002.95,     32084.20,0,0,Y, ,0,     32298.05,     16116.25,2021-01-08
62,N,EQ,ADANIPORTS,ADANI PORT & SEZ LTD,       513.85,       520.00,       527.35,       514.50,       517.00,               3789849024.45,7272250,Y, ,105599,       527.35,       203.00,2021-01-08
63,N,EQ,ASIANPAINT,ASIAN PAINTS LIMITED,      2792.25,      2818.00,      2849.80,      2789.05,      2844.70,               4676817167.50,1660967,Y, ,100519,      2849.80,      1431.20,2021-01-08
64,N,EQ,AXISBANK,AXIS BANK LIMITED,       671.10,       678.00,       678.85,       668.50,       672.70,               8261904693.35,12272794,Y, ,136289,       760.70,       286.00,2021-01-08
65,N,EQ,BAJAJ-AUTO,BAJAJ AUTO LIMITED,      3437.95,      3469.00,      3544.60,      3438.05,      3529.15,               2365669131.30,675643,Y, ,42080,      3544.60,      1788.65,2021-01-08
66,N,EQ,BAJAJFINSV,BAJAJ FINSERV LTD.,      8988.00,      9036.00,      9265.00,      8948.00,      9171.60,               7538600104.70,824261,Y, ,68802,      9950.00,      3985.30,2021-01-08
67,N,EQ,BAJFINANCE,BAJAJ FINANCE LIMITED,      5081.00,      5130.00,      5138.75,      5042.00,      5082.00,              15273648268.55,2998451,Y, ,161323,      5372.50,      1783.00,2021-01-08
68,N,EQ,BHARTIARTL,BHARTI AIRTEL LIMITED,       545.25,       549.30,       549.75,       537.30,       540.25,               7746345547.15,14270435,Y, ,125210,       612.00,       361.75,2021-01-08
69,N,EQ,BPCL,BHARAT PETROLEUM CORP  LT,       392.20,       395.00,       406.00,       394.25,       400.15,               4972975119.75,12377956,Y, ,164601,       510.00,       252.00,2021-01-08
70,N,EQ,BRITANNIA,BRITANNIA INDUSTRIES LTD,      3552.80,      3574.00,      3589.95,      3532.85,      3575.25,               3421103544.10,961239,Y, ,71792,      4010.00,      2100.00,2021-01-08
71,N,EQ,CIPLA,CIPLA LTD,       826.55,       830.70,       846.20,       827.40,       838.70,               4252438018.80,5072916,Y, ,125099,       846.20,       355.30,2021-01-08
72,N,EQ,COALINDIA,COAL INDIA LTD,       136.50,       137.10,       140.95,       137.10,       139.70,               3907729749.85,27964099,Y, ,163024,       214.60,       109.55,2021-01-08
73,N,EQ,DIVISLAB,DIVI'S LABORATORIES LTD,      3803.05,      3819.00,      3868.70,      3810.10,      3859.15,               2285215225.05,594069,Y, ,41071,      3914.95,      1626.00,2021-01-08
74,N,EQ,DRREDDY,DR. REDDY'S LABORATORIES,      5270.90,      5299.90,      5360.00,      5279.00,      5338.25,               4314627572.95,809183,Y, ,45991,      5512.65,      2495.05,2021-01-08
75,N,EQ,EICHERMOT,EICHER MOTORS LTD,      2649.80,      2661.00,      2771.30,      2661.00,      2760.85,               7075419751.60,2585123,Y, ,109691,     22339.95,      2015.20,2021-01-08
76,N,EQ,GAIL,GAIL (INDIA) LTD,       133.45,       134.50,       134.65,       131.65,       132.75,               2281192818.65,17130661,Y, ,60600,       136.00,        65.00,2021-01-08
77,N,EQ,GRASIM,GRASIM INDUSTRIES LTD,       993.85,       999.65,      1023.85,       992.10,      1004.30,               2403369142.40,2381402,Y, ,44294,      1023.85,       385.05,2021-01-08
78,N,EQ,HCLTECH,HCL TECHNOLOGIES LTD,       962.55,       974.90,      1003.50,       970.00,       994.65,               7927736978.75,8034775,Y, ,112810,      1003.50,       375.25,2021-01-08
79,N,EQ,HDFC,HDFC LTD,      2661.35,      2668.00,      2674.40,      2631.00,      2657.50,              11903528947.45,4497042,Y, ,129843,      2709.35,      1473.45,2021-01-08
80,N,EQ,HDFCBANK,HDFC BANK LTD,      1416.25,      1432.00,      1442.00,      1423.10,      1431.65,               9863997390.15,6884382,Y, ,162375,      1464.40,       738.75,2021-01-08
81,N,EQ,HDFCLIFE,HDFC LIFE INS CO LTD,       704.30,       715.40,       721.95,       708.10,       717.00,               2033805435.05,2841346,Y, ,54878,       723.80,       340.00,2021-01-08
82,N,EQ,HEROMOTOCO,HERO MOTOCORP LIMITED,      3055.25,      3070.00,      3165.95,      3063.10,      3161.10,               4923642311.00,1576465,Y, ,75281,      3394.90,      1475.00,2021-01-08
83,N,EQ,HINDALCO,HINDALCO  INDUSTRIES  LTD,       272.90,       273.95,       274.45,       265.15,       268.20,               5541245364.15,20606695,Y, ,107247,       275.40,        84.90,2021-01-08
84,N,EQ,HINDUNILVR,HINDUSTAN UNILEVER LTD.,      2368.85,      2390.00,      2400.00,      2360.80,      2391.20,               6649822490.75,2797948,Y, ,130288,      2614.30,      1757.30,2021-01-08
85,N,EQ,ICICIBANK,ICICI BANK LTD.,       541.10,       547.00,       547.10,       536.35,       542.05,              11868728979.40,21937965,Y, ,169218,       554.40,       268.30,2021-01-08
86,N,EQ,INDUSINDBK,INDUSIND BANK LIMITED,       952.05,       965.00,       976.00,       932.10,       939.80,              10359953762.40,10838196,Y, ,160280,      1585.00,       235.55,2021-01-08
87,N,EQ,INFY,INFOSYS LIMITED,      1262.15,      1278.25,      1316.80,      1278.25,      1312.10,              17117011224.65,13186251,Y, ,227983,      1316.80,       509.25,2021-01-08
88,N,EQ,IOC,INDIAN OIL CORP LTD,        94.50,        95.10,        96.40,        94.65,        96.15,               2162361045.15,22542041,Y, ,58002,       128.20,        71.15,2021-01-08
89,N,EQ,ITC,ITC LTD,       202.80,       204.35,       206.00,       200.25,       201.50,              11439843997.50,56427360,Y, ,287998,       243.90,       134.60,2021-01-08
90,N,EQ,JSWSTEEL,JSW STEEL LIMITED,       405.40,       410.30,       410.45,       398.50,       402.85,               3061369726.90,7559664,Y, ,96666,       413.10,       132.50,2021-01-08
91,N,EQ,KOTAKBANK,KOTAK MAHINDRA BANK LTD,      1952.40,      1972.00,      1976.00,      1946.25,      1970.70,               6402165060.00,3262897,Y, ,82858,      2027.00,      1001.00,2021-01-08
92,N,EQ,LT,LARSEN & TOUBRO LTD.,      1338.95,      1349.80,      1382.95,      1347.00,      1373.40,               6829485325.45,4984995,Y, ,136691,      1383.70,       661.00,2021-01-08
93,N,EQ,M&M,MAHINDRA & MAHINDRA LTD,       744.40,       750.00,       772.80,       745.00,       770.50,               4579046016.05,5998381,Y, ,124731,       772.80,       245.40,2021-01-08
94,N,EQ,MARUTI,MARUTI SUZUKI INDIA LTD.,      7566.05,      7600.00,      8060.00,      7600.00,      8014.90,              20202726188.90,2557157,Y, ,206469,      8060.00,      4001.10,2021-01-08
95,N,EQ,NESTLEIND,NESTLE INDIA LIMITED,     18127.30,     18227.30,     18350.00,     18000.00,     18306.25,               2752733293.30,151635,Y, ,36021,     18844.00,     12200.00,2021-01-08
96,N,EQ,NTPC,NTPC LTD,        97.00,        97.60,       100.50,        97.35,       100.15,               4296137619.65,43240591,Y, ,80118,       125.00,        73.20,2021-01-08
97,N,EQ,ONGC,OIL AND NATURAL GAS CORP.,        97.90,        98.95,       101.30,        98.55,       100.65,               3594084430.90,36022114,Y, ,94894,       129.80,        50.00,2021-01-08
98,N,EQ,POWERGRID,POWER GRID CORP. LTD.,       197.05,       198.75,       204.00,       197.55,       203.55,               3355325314.30,16586958,Y, ,70433,       211.00,       122.15,2021-01-08
99,N,EQ,RELIANCE,RELIANCE INDUSTRIES LTD,      1911.15,      1918.00,      1938.40,      1912.10,      1933.70,              24441751752.65,12709792,Y, ,270966,      2369.35,       875.65,2021-01-08
100,N,EQ,SBILIFE,SBI LIFE INSURANCE CO LTD,       914.15,       920.00,       954.50,       918.00,       935.50,               4164061300.85,4436263,Y, ,125721,      1020.00,       519.40,2021-01-08
101,N,EQ,SBIN,STATE BANK OF INDIA,       287.70,       290.10,       291.40,       285.20,       286.00,               9380501388.85,32543357,Y, ,169736,       337.95,       149.45,2021-01-08
102,N,EQ,SHREECEM,SHREE CEMENT LIMITED,     25002.15,     24960.00,     25979.50,     24960.00,     25813.40,               1947765291.25,76285,Y, ,20347,     25979.50,     15410.00,2021-01-08
103,N,EQ,SUNPHARMA,SUN PHARMACEUTICAL IND L,       601.90,       607.00,       622.80,       604.00,       620.80,               7067188082.15,11451416,Y, ,134402,       622.80,       312.00,2021-01-08
104,N,EQ,TATAMOTORS,TATA MOTORS LIMITED,       196.75,       198.75,       201.50,       197.10,       198.15,              10768126835.90,53991568,Y, ,191216,       201.70,        63.50,2021-01-08
105,N,EQ,TATASTEEL,TATA STEEL LIMITED,       722.80,       727.00,       727.25,       703.10,       713.15,              13844858404.60,19329313,Y, ,188934,       731.50,       250.85,2021-01-08
106,N,EQ,TCS,TATA CONSULTANCY SERV LT,      3032.80,      3090.00,      3128.00,      3060.00,      3120.90,              18230717038.75,5879039,Y, ,214010,      3128.00,      1506.05,2021-01-08
107,N,EQ,TECHM,TECH MAHINDRA LIMITED,       994.75,      1007.75,      1060.00,      1005.45,      1051.10,               9637082636.30,9279370,Y, ,139872,      1060.00,       471.40,2021-01-08
108,N,EQ,TITAN,TITAN COMPANY LIMITED,      1542.35,      1547.90,      1555.30,      1521.50,      1548.60,               5348068788.85,3478504,Y, ,96106,      1621.35,       720.90,2021-01-08
109,N,EQ,ULTRACEMCO,ULTRATECH CEMENT LIMITED,      5397.95,      5419.00,      5613.30,      5417.55,      5591.75,               4448281975.75,802681,Y, ,61053,      5613.30,      2910.00,2021-01-08
110,N,EQ,UPL,UPL LIMITED,       482.50,       485.00,       506.00,       484.80,       503.65,               8078800123.10,16114942,Y, ,180917,       614.90,       240.15,2021-01-08
111,N,EQ,WIPRO,WIPRO LTD,       406.75,       407.50,       432.65,       407.25,       430.20,              17363008226.95,40993230,Y, ,277996,       432.65,       159.40,2021-01-08
114,N,EQ,ABBOTINDIA,ABBOTT INDIA LIMITED,     15435.95,     15549.90,     15699.95,     15445.05,     15496.05,                204600500.60,13199,N, ,4374,     18679.75,     12186.55,2021-01-08
115,N,EQ,ACC,ACC LIMITED,      1704.35,      1720.00,      1769.55,      1713.05,      1761.25,               3728867671.95,2133816,N, ,64866,      1785.00,       895.15,2021-01-08
116,N,EQ,ADANIGREEN,ADANI GREEN ENERGY LTD,      1063.10,      1071.00,      1076.00,      1009.95,      1014.90,               1682758970.55,1646213,N, ,48326,      1220.00,       111.90,2021-01-08
117,N,EQ,ADANITRANS,ADANI TRANSMISSION LTD,       454.65,       456.70,       460.00,       452.50,       454.75,                161457446.65,354700,N, ,9688,       462.30,       147.50,2021-01-08
118,N,EQ,ALKEM,ALKEM LABORATORIES LTD.,      3007.55,      3020.00,      3068.80,      3000.00,      3041.25,                298759120.70,98299,N, ,10246,      3090.00,      1881.30,2021-01-08
119,N,EQ,AMBUJACEM,AMBUJA CEMENTS LTD,       263.00,       265.00,       271.40,       264.30,       269.95,               2183990162.85,8135272,N, ,55445,       272.00,       136.55,2021-01-08
120,N,EQ,AUROPHARMA,AUROBINDO PHARMA LTD,       957.45,       957.00,       967.00,       940.60,       945.45,               2558298330.30,2685467,N, ,52721,       996.85,       288.85,2021-01-08
121,N,EQ,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,      3128.05,      3150.00,      3150.00,      3124.00,      3131.30,                140872115.95,44992,N, ,5398,      3950.00,      1460.15,2021-01-08
122,N,EQ,BANDHANBNK,BANDHAN BANK LIMITED,       405.80,       411.05,       424.00,       409.40,       419.40,               7022427320.15,16763434,N, ,150662,       526.00,       152.20,2021-01-08
123,N,EQ,BANKBARODA,BANK OF BARODA,        66.15,        67.00,        67.15,        65.30,        65.55,               1510759032.75,22794827,N, ,37388,        99.95,        36.00,2021-01-08
124,N,EQ,BERGEPAINT,BERGER PAINTS (I) LTD,       792.00,       793.45,       812.95,       792.65,       810.60,                777105033.90,967826,N, ,28464,       812.95,       389.35,2021-01-08
125,N,EQ,BIOCON,BIOCON LIMITED.,       454.80,       466.15,       467.95,       461.25,       465.65,               2581734804.75,5550289,N, ,61266,       487.75,       235.55,2021-01-08
126,N,EQ,BOSCHLTD,BOSCH LIMITED,     13863.65,     14000.00,     14181.75,     13801.05,     13856.55,               1275033853.30,91160,N, ,18027,     15550.00,      7850.00,2021-01-08
127,N,EQ,CADILAHC,CADILA HEALTHCARE LIMITED,       482.20,       485.00,       489.40,       483.50,       485.15,               1078277154.05,2216314,N, ,28059,       499.25,       202.00,2021-01-08
128,N,EQ,COLPAL,COLGATE PALMOLIVE LTD.,      1592.10,      1599.00,      1625.00,      1599.00,      1614.75,               1193308406.60,738807,N, ,45574,      1630.00,      1065.00,2021-01-08
129,N,EQ,CONCOR,CONTAINER CORP OF IND LTD,       431.30,       436.95,       446.95,       433.80,       442.55,               2277589139.50,5146410,N, ,199882,       602.20,       263.40,2021-01-08
130,N,EQ,DABUR,DABUR INDIA LTD,       535.20,       537.00,       542.45,       534.00,       540.10,               1975942073.20,3665938,N, ,46551,       544.00,       386.05,2021-01-08
131,N,EQ,DLF,DLF LIMITED,       245.40,       247.90,       252.45,       245.90,       248.30,               3752516862.45,15045597,N, ,102455,       266.55,       114.55,2021-01-08
132,N,EQ,DMART,AVENUE SUPERMARTS LIMITED,      2921.45,      2949.90,      2999.00,      2932.25,      2967.50,               2197895996.65,742344,N, ,58008,      3100.00,      1780.00,2021-01-08
133,N,EQ,GICRE,GENERAL INS CORP OF INDIA,       141.30,       141.30,       147.20,       141.30,       144.65,                261691070.65,1802161,N, ,14425,       274.80,        81.50,2021-01-08
134,N,EQ,GODREJCP,GODREJ CONSUMER PRODUCTS,       733.35,       738.90,       752.30,       735.40,       750.35,               1564315284.00,2097317,N, ,74210,       772.00,       425.10,2021-01-08
135,N,EQ,HAVELLS,HAVELLS INDIA LIMITED,       971.25,       976.10,      1012.55,       974.10,      1007.50,               3533729906.90,3536689,N, ,75470,      1012.55,       447.05,2021-01-08
136,N,EQ,HDFCAMC,HDFC AMC LIMITED,      3063.15,      3063.00,      3145.00,      3053.15,      3137.85,               1455328342.35,468406,N, ,40252,      3446.60,      1962.00,2021-01-08
137,N,EQ,HINDPETRO,HINDUSTAN PETROLEUM CORP,       222.80,       224.75,       230.15,       224.25,       225.50,               1988844099.80,8764169,N, ,58300,       260.95,       150.00,2021-01-08
138,N,EQ,HINDZINC,HINDUSTAN ZINC LIMITED,       308.15,       312.00,       324.90,       298.20,       304.00,               2838190299.75,9070406,N, ,135977,       328.40,       116.05,2021-01-08
139,N,EQ,ICICIGI,ICICI LOMBARD GIC LIMITED,      1571.20,      1583.90,      1617.95,      1562.00,      1605.15,               1150831456.10,719490,N, ,34066,      1626.45,       805.00,2021-01-08
140,N,EQ,ICICIPRULI,ICICI PRU LIFE INS CO LTD,       509.70,       512.95,       534.50,       512.95,       525.90,               1746582239.70,3319428,N, ,70171,       534.50,       226.10,2021-01-08
141,N,EQ,IGL,INDRAPRASTHA GAS LTD,       540.00,       543.55,       553.75,       541.05,       550.70,               1954167318.50,3552973,N, ,60239,       553.75,       284.05,2021-01-08
142,N,EQ,INDIGO,INTERGLOBE AVIATION LTD,      1761.05,      1770.00,      1774.90,      1723.00,      1732.30,               1651339591.40,946898,N, ,33500,      1787.00,       771.30,2021-01-08
143,N,EQ,LTI,L&T INFOTECH LIMITED,      3882.90,      3920.85,      4114.00,      3920.00,      4092.20,               2349562896.55,582258,N, ,54921,      4198.90,      1210.00,2021-01-08
144,N,EQ,LUPIN,LUPIN LIMITED,      1022.25,      1023.50,      1047.35,      1022.60,      1038.80,               4074005409.55,3927080,N, ,65483,      1122.30,       504.75,2021-01-08
145,N,EQ,MARICO,MARICO LIMITED,       417.80,       418.80,       425.80,       418.80,       424.70,               1065426420.10,2514098,N, ,32258,       425.80,       234.00,2021-01-08
146,N,EQ,MCDOWELL-N,UNITED SPIRITS LIMITED,       613.90,       622.00,       637.60,       613.85,       630.90,               4963350037.65,7907269,N, ,135173,       742.70,       442.65,2021-01-08
147,N,EQ,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LT,       167.60,       168.80,       168.80,       166.60,       168.00,               1524275885.85,9095229,N, ,43995,       170.35,        48.65,2021-01-08
148,N,EQ,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,      1277.45,      1280.00,      1294.00,      1267.35,      1283.30,               1771277023.10,1382458,N, ,67199,      1405.75,       476.80,2021-01-08
149,N,EQ,NAUKRI,INFO EDGE (I) LTD,      5311.25,      5344.00,      5450.00,      5288.55,      5412.20,               3913072231.25,728189,N, ,59529,      5880.00,      1581.10,2021-01-08
150,N,EQ,NMDC,NMDC LTD.,       127.95,       129.50,       129.50,       125.00,       125.50,               1447040319.90,11402276,N, ,32814,       139.70,        61.55,2021-01-08
151,N,EQ,OFSS,ORACLE FIN SERV SOFT LTD.,      3325.15,      3368.45,      3368.45,      3305.55,      3342.40,                345709331.60,103532,N, ,8603,      3480.00,      1506.00,2021-01-08
152,N,EQ,PEL,PIRAMAL ENTERPRISES LTD,      1496.85,      1503.00,      1569.85,      1500.10,      1524.55,               7460977183.60,4843627,N, ,181899,      1727.95,       606.85,2021-01-08
153,N,EQ,PETRONET,PETRONET LNG LIMITED,       259.75,       260.70,       271.80,       260.50,       268.40,               2416121848.00,9051914,N, ,67956,       280.75,       170.40,2021-01-08
154,N,EQ,PFC,POWER FIN CORP LTD.,       119.30,       120.70,       121.85,       119.75,       120.95,                815424056.10,6738729,N, ,40315,       133.40,        74.15,2021-01-08
155,N,EQ,PGHH,P&G HYGIENE & HEALTH CARE,     11229.30,     11291.40,     11320.00,     11089.55,     11257.05,                 53085528.25,4725,N, ,1498,     12388.80,      8400.00,2021-01-08
156,N,EQ,PIDILITIND,PIDILITE INDUSTRIES LTD,      1768.95,      1782.30,      1823.90,      1771.65,      1819.05,               1446557034.65,803362,N, ,34380,      1823.90,      1185.55,2021-01-08
157,N,EQ,PNB,PUNJAB NATIONAL BANK,        35.45,        35.65,        35.90,        35.10,        35.40,               2865305969.30,80655853,N, ,64986,        64.90,        26.30,2021-01-08
158,N,EQ,SBICARD,SBI CARDS & PAY SER LTD,       977.50,       980.00,       989.00,       958.00,       965.15,               1483096481.00,1525747,N, ,63085,      1002.05,       495.00,2021-01-08
159,N,EQ,SIEMENS,SIEMENS LTD,      1632.80,      1639.40,      1665.00,      1633.00,      1654.90,                792626830.55,480120,N, ,23697,      1665.00,       947.90,2021-01-08
160,N,EQ,TATACONSUM,TATA CONSUMER PRODUCT LTD,       600.85,       606.80,       612.50,       602.60,       609.55,               2102612715.45,3458752,N, ,57544,       616.10,       213.70,2021-01-08
161,N,EQ,TORNTPHARM,TORRENT PHARMACEUTICALS L,      2775.95,      2789.00,      2872.00,      2775.50,      2851.90,               1479308748.10,521368,N, ,22925,      3031.20,      1583.25,2021-01-08
162,N,EQ,UBL,UNITED BREWERIES LTD,      1247.50,      1253.00,      1267.15,      1240.15,      1249.95,                685822980.65,547218,N, ,22425,      1356.00,       749.50,2021-01-08
165,N,EQ,20MICRONS,20 MICRONS LTD,        40.75,        41.80,        42.00,        40.20,        41.65,                 24938397.60,600137,N, ,2754,        43.80,        19.00,2021-01-08
166,N,EQ,21STCENMGM,21ST CENTURY MGMT SERVICE,        10.60,        10.80,        10.80,        10.50,        10.75,                    64383.05,5991,N, ,57,        17.25,         9.45,2021-01-08
167,N,EQ,3IINFOTECH,3I INFOTECH LTD.,         8.10,         8.50,         8.50,         8.50,         8.50,                 15744142.00,1852252,N, ,826,         8.50,         1.15,2021-01-08
168,N,EQ,3MINDIA,3M INDIA LIMITED,     21626.00,     21553.00,     21898.95,     21331.00,     21735.40,                332854833.25,15435,N, ,4911,     25200.00,     15700.00,2021-01-08
169,N,EQ,3PLAND,3P LAND HOLDINGS LIMITED,        11.00,        11.00,        11.35,        10.60,        10.95,                    98936.35,8982,N, ,85,        13.55,         3.40,2021-01-08
170,N,EQ,5PAISA,5PAISA CAPITAL LIMITED,       312.00,       310.35,       335.75,       295.00,       315.10,                  9899955.65,31421,N, ,1198,       465.00,        90.00,2021-01-08
171,N,EQ,A2ZINFRA,A2Z INFRA ENGINEERING LTD,         5.25,         5.25,         5.40,         4.95,         5.05,                  5804692.60,1121333,N, ,1107,         8.50,         2.90,2021-01-08
173,N,EQ,AAKASH,AAKASH EXPLORATION SER L,        78.30,        78.45,        78.75,        77.50,        78.55,                  2082200.00,26572,N, ,379,        78.75,        48.35,2021-01-08
174,N,EQ,AARON,AARON INDUSTRIES LIMITED,        53.40,        53.40,        54.10,        52.20,        54.00,                   299858.05,5568,N, ,59,        67.95,        28.00,2021-01-08
175,N,EQ,AARTIDRUGS,AARTI DRUGS LTD.,       727.75,       731.00,       749.00,       728.00,       736.05,                610017553.90,824889,N, ,33152,      3719.00,       421.00,2021-01-08
176,N,EQ,AARTIIND,AARTI INDUSTRIES LTD,      1279.80,      1282.00,      1301.85,      1270.50,      1280.40,                418462163.20,326480,N, ,10830,      1365.90,       668.00,2021-01-08
177,N,EQ,AARTISURF,AARTI SURFACTANTS LIMITED,      1010.85,      1011.50,      1029.80,      1005.00,      1008.40,                 13595778.15,13379,N, ,1131,      1209.60,       841.25,2021-01-08
178,N,EQ,AARVI,AARVI ENCON LIMITED,        46.65,        47.85,        48.50,        46.65,        46.75,                   982271.45,20493,N, ,186,        54.65,        24.70,2021-01-08
179,N,EQ,AAVAS,AAVAS FINANCIERS LIMITED,      1891.30,      1896.00,      1948.00,      1896.00,      1933.10,                285628349.45,148479,N, ,13911,      2117.95,       849.05,2021-01-08
180,N,EQ,ABB,ABB INDIA LIMITED,      1302.65,      1307.55,      1330.00,      1300.00,      1315.00,                375384564.80,285838,N, ,5544,      1411.00,       722.00,2021-01-08
181,N,EQ,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,        92.90,        93.70,        94.20,        91.55,        92.40,                388595337.70,4179333,N, ,23201,       115.35,        37.35,2021-01-08
182,N,EQ,ABFRL,ADITYA BIRLA FASHION & RT,       168.35,       168.60,       170.55,       165.50,       166.45,                317132302.80,1879933,N, ,14663,       285.50,        97.00,2021-01-08
184,N,EQ,ACCELYA,ACCELYA SOLN INDIA LTD,       958.60,       955.70,       970.00,       955.70,       967.10,                  4912186.10,5085,N, ,532,      1130.00,       800.00,2021-01-08
185,N,EQ,ACCURACY,ACCURACY SHIPPING LIMITED,        37.40,        37.95,        39.25,        37.00,        39.25,                  5951053.75,158438,N, ,140,        39.75,        31.25,2021-01-08
186,N,EQ,ACE,ACTION CONST EQUIP LTD,       143.75,       144.90,       146.35,       140.80,       141.95,                 38234373.65,267965,N, ,3217,       149.50,        31.35,2021-01-08
187,N,EQ,ADANIENT,ADANI ENTERPRISES LIMITED,       518.10,       523.00,       526.60,       514.10,       518.00,               1924488783.20,3702267,N, ,38483,       526.60,       116.40,2021-01-08
188,N,EQ,ADANIGAS,ADANI GAS LIMITED,       368.20,       371.45,       374.50,       367.00,       369.35,                421642175.20,1133002,N, ,15793,       389.65,        76.60,2021-01-08
189,N,EQ,ADANIPOWER,ADANI POWER LTD,        51.00,        51.50,        53.55,        51.20,        53.45,                974410202.35,18350326,N, ,34622,        65.95,        23.00,2021-01-08
190,N,EQ,ADFFOODS,ADF FOODS LIMITED,       632.85,       634.95,       646.80,       618.20,       632.00,                 32843930.50,51750,N, ,2689,       667.95,       123.05,2021-01-08
191,N,EQ,ADORWELD,ADOR WELDING LTD,       300.35,       301.20,       317.50,       300.40,       310.55,                 38265008.65,123321,N, ,6031,       358.65,       158.50,2021-01-08
192,N,EQ,ADSL,ALLIED DIGITAL SERV. LTD,        42.65,        43.80,        44.45,        41.50,        43.55,                 13309780.20,304542,N, ,2072,        44.45,        10.50,2021-01-08
193,N,EQ,ADVENZYMES,ADVANCED ENZYME TECH LTD,       329.05,       331.95,       334.50,       325.55,       328.10,                 45561678.00,137967,N, ,4483,       384.70,        98.10,2021-01-08
194,N,EQ,AEGISCHEM,AEGIS LOGISTICS LIMITED,       257.95,       259.90,       261.90,       253.25,       256.75,                154349152.30,600620,N, ,13104,       275.30,       107.25,2021-01-08
195,N,EQ,AFFLE,AFFLE (INDIA) LIMITED,      3946.30,      3967.05,      4010.05,      3935.95,      3965.50,                133196790.20,33515,N, ,8065,      4072.45,      1411.55,2021-01-08
196,N,EQ,AGARIND,AGARWAL INDS CORP LTD.,       102.85,       104.65,       115.45,       103.00,       110.95,                  9698218.50,87806,N, ,1774,       123.95,        43.95,2021-01-08
197,N,EQ,AGROPHOS,AGRO PHOS INDIA LIMITED,        15.80,        15.85,        16.20,        15.60,        15.70,                  1463780.05,92132,N, ,434,        61.80,         4.95,2021-01-08
199,N,EQ,AHLEAST,ASIAN HOTELS (EAST) LTD,       164.25,       167.45,       170.00,       164.80,       168.35,                   284854.00,1686,N, ,90,       222.40,       111.40,2021-01-08
200,N,EQ,AHLUCONT,AHLUWALIA CONT IND LTD,       263.95,       264.80,       266.00,       262.35,       264.35,                  7014974.40,26530,N, ,732,       370.00,       136.00,2021-01-08
201,N,EQ,AHLWEST,ASIAN HOTELS (WEST) LTD,       259.30,       259.35,       264.75,       259.30,       259.95,                   335961.05,1286,N, ,123,       384.40,       224.25,2021-01-08
202,N,EQ,AIAENG,AIA ENGINEERING LIMITED,      1967.20,      1976.95,      2014.00,      1975.05,      2000.80,                109862077.55,54808,N, ,6947,      2184.25,      1102.20,2021-01-08
203,N,EQ,AIRAN,AIRAN LIMITED,        19.20,        19.70,        19.95,        19.00,        19.20,                  1841601.20,94431,N, ,695,        21.15,         8.20,2021-01-08
205,N,EQ,AJANTPHARM,AJANTA PHARMA LIMITED,      1767.20,      1790.00,      1834.00,      1711.15,      1790.45,                577865968.10,318431,N, ,36135,      1834.00,       961.00,2021-01-08
206,N,EQ,AJMERA,AJMERA REALTY & INF I LTD,       140.45,       140.95,       142.90,       137.20,       138.80,                 13518010.95,96168,N, ,1925,       155.60,        52.50,2021-01-08
208,N,EQ,AKASH,AKASH INFRA-PROJECTS LTD,       235.40,       238.00,       247.15,       235.00,       241.95,                 33216917.05,135923,N, ,791,       281.00,        57.20,2021-01-08
210,N,EQ,AKSHARCHEM,AKSHARCHEM INDIA LIMITED,       275.40,       279.15,       299.00,       274.00,       291.00,                 73991983.05,254861,N, ,8599,       337.95,       134.00,2021-01-08
211,N,EQ,AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,         8.90,         9.35,         9.50,         8.35,         8.60,                 14320916.05,1620145,N, ,2624,         9.70,         2.70,2021-01-08
212,N,EQ,AKZOINDIA,AKZO NOBEL INDIA LIMITED,      2418.00,      2430.50,      2474.00,      2380.20,      2401.60,                 25148632.15,10368,N, ,2270,      2518.80,      1750.00,2021-01-08
213,N,EQ,ALANKIT,ALANKIT LIMITED,        18.75,        19.20,        19.40,        18.65,        19.15,                  3819555.80,201852,N, ,690,        21.70,         8.25,2021-01-08
214,N,EQ,ALBERTDAVD,ALBERT DAVID LIMITED,       464.85,       470.90,       471.00,       458.55,       460.80,                  7298583.15,15770,N, ,1038,       567.70,       263.00,2021-01-08
215,N,EQ,ALEMBICLTD,ALEMBIC LIMITED,       105.50,       106.05,       108.45,       105.40,       105.75,                 50977684.10,477085,N, ,4577,       122.80,        24.80,2021-01-08
216,N,EQ,ALICON,ALICON CASTALLOY LIMITED,       378.55,       378.65,       384.95,       369.00,       370.15,                  2384338.45,6342,N, ,578,       450.45,       157.10,2021-01-08
217,N,EQ,ALKALI,ALKALI METALS LTD,        54.85,        55.90,        55.90,        53.85,        54.60,                  4431349.35,80772,N, ,891,        58.95,        22.00,2021-01-08
