,MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN,HIGH,LOW,CMP,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK,ForDate
969,N,EQ,MSTCLTD,MSTC LIMITED,       181.05,       182.80,       188.00,       179.05,       180.90,                130795416.40,711221,N, ,12297,       235.20,        73.10,2021-01-08
970,N,EQ,MTEDUCARE,MT EDUCARE LTD,         9.20,         9.30,         9.90,         9.15,         9.65,                 12274467.50,1276946,N, ,1938,        18.00,         6.25,2021-01-08
971,N,EQ,MTNL,MAHANAGAR TELEPHONE NIGAM,        14.40,        14.55,        14.55,        14.05,        14.15,                 30226006.95,2124500,N, ,2602,        15.50,         5.55,2021-01-08
972,N,EQ,MUKANDENGG,MUKAND ENGINEERS LIMITED,        14.90,        15.40,        15.40,        14.40,        14.55,                   191450.85,13072,N, ,114,        15.45,         6.30,2021-01-08
973,N,EQ,MUKANDLTD,MUKAND LTD.,        72.00,        71.15,        73.95,        70.85,        71.35,                  5720442.70,79248,N, ,1017,        76.50,        11.75,2021-01-08
974,N,EQ,MUKTAARTS,MUKTA ARTS LIMITED,        33.25,        34.00,        34.00,        31.60,        32.40,                  1301989.65,39828,N, ,324,        44.70,        14.50,2021-01-08
975,N,EQ,MUNJALAU,MUNJAL AUTO IND. LTD.,        60.60,        61.10,        61.65,        60.40,        60.75,                 16986405.10,278743,N, ,2212,        68.80,        18.15,2021-01-08
976,N,EQ,MUNJALSHOW,MUNJAL SHOWA LTD,       142.40,       144.75,       145.15,       141.50,       144.65,                  7350752.20,51062,N, ,896,       164.95,        54.00,2021-01-08
977,N,EQ,MURUDCERA,MURUDESHWAR CERAMICS LTD,        25.10,        25.10,        25.60,        23.65,        23.80,                 12531702.20,518933,N, ,2460,        25.85,         8.00,2021-01-08
978,N,EQ,MUTHOOTCAP,MUTHOOT CAP SERV LTD,       408.65,       412.30,       422.80,       407.25,       414.40,                 36589932.55,88483,N, ,2349,       664.05,       221.70,2021-01-08
979,N,EQ,NACLIND,NACL INDUSTRIES LIMITED,        44.10,        45.40,        45.90,        42.20,        43.70,                  3964007.55,89365,N, ,893,        51.25,        16.50,2021-01-08
980,G,EQ,NAGREEKA CAP & INFR.LTD,NAGREEKA CAP & INFR.LTD,         6.70,         6.45,         6.80,         6.45,         6.80,                     1271.30,192,N, ,5,         8.00,         3.65,2021-01-08
981,N,EQ,NAGREEKEXP,NAGREEKA EXPORTS LTD.,        22.70,        23.50,        23.50,        22.45,        22.75,                   439102.65,19199,N, ,165,        24.90,         8.10,2021-01-08
982,N,EQ,NAHARCAP,NAHAR CAP & FIN.,        92.70,        88.60,       101.95,        88.60,        98.35,                  4500403.30,46251,N, ,854,       101.95,        43.00,2021-01-08
983,N,EQ,NAHARPOLY,NAHAR POLY FILMS LIMITED,        94.75,        94.75,        95.00,        93.10,        93.55,                  2640898.15,28145,N, ,395,       106.70,        23.05,2021-01-08
984,N,EQ,NAM-INDIA,NIPPON L I A M LTD,       302.30,       305.00,       314.00,       304.95,       309.00,                595757649.20,1919811,N, ,21712,       452.90,       207.70,2021-01-08
986,N,EQ,NATCOPHARM,NATCO PHARMA LTD.,       934.55,       940.40,       952.90,       932.00,       938.30,                376895075.95,399488,N, ,16507,       996.00,       402.55,2021-01-08
987,N,EQ,NATHBIOGEN,NATH BIO-GENES (I) LTD,       277.65,       279.75,       295.00,       274.25,       290.50,                 85894535.40,300596,N, ,5317,       416.00,       127.30,2021-01-08
988,N,EQ,NATIONALUM,NATIONAL ALUMINIUM CO LTD,        48.10,        48.75,        50.00,        47.60,        47.85,               1993680189.90,40719826,N, ,49020,        50.00,        24.40,2021-01-08
989,N,EQ,NAVINFLUOR,NAVIN FLUORINE INT. LTD,      2809.90,      2821.75,      2850.00,      2700.00,      2711.00,                531764305.40,194123,N, ,29359,      2850.00,       963.40,2021-01-08
990,N,EQ,NAVKARCORP,NAVKAR CORPORATION LTD.,        46.55,        46.95,        47.20,        46.00,        46.20,                 30393387.70,653091,N, ,3291,        49.50,        13.10,2021-01-08
991,N,EQ,NAVNETEDUL,NAVNEET EDUCATION LTD,        85.00,        85.00,        86.70,        84.55,        84.80,                 11276397.35,131618,N, ,1600,       102.00,        45.00,2021-01-08
992,N,EQ,NBCC,NBCC (INDIA) LIMITED,        32.30,        32.50,        32.90,        31.90,        32.20,                339645810.90,10486342,N, ,19232,        39.70,        14.05,2021-01-08
993,N,EQ,NBIFIN,N.B.I. IND. FIN. CO. LTD,      1653.05,      1636.80,      1660.00,      1632.10,      1648.75,                  3224079.50,1956,N, ,166,      1880.00,      1067.00,2021-01-08
994,N,EQ,NBVENTURES,NAVA BHARAT VENTURES LIMI,        62.60,        63.25,        63.85,        62.25,        62.35,                 90001068.05,1427254,N, ,8974,        95.40,        32.00,2021-01-08
